,url,title,rating,numOfRatings,popularity,numOfAwards,parentalRating,yearMade,genre,language,length,gross
3068,https://imdb.com/title/tt5220122,Hotel Transylvania 3: Summer Vacation,6.3,64000,2305,"[2, 9]",PG,2018,"['Animation', 'Adventure', 'Comedy']","['English', 'Spanish', 'German', 'Russian']",97,528583774
3069,https://imdb.com/title/tt0087056,A Christmas Carol,7.8,13000,,"[0, 0]",PG,1984,"['Drama', 'Family', 'Fantasy']","['English', 'Portuguese']",100,
3070,https://imdb.com/title/tt0451079,Horton Hears a Who!,6.8,134000,3714,"[1,18]",G,2008,"['Animation', 'Adventure', 'Comedy']",['English'],86,298572799
3071,https://imdb.com/title/tt0307453,Shark Tale,6,174000,2067,"[3, 16]",PG,2004,"['Animation', 'Adventure', 'Comedy']",['English'],90,374583879
3072,https://imdb.com/title/tt0400717,Open Season,6.1,91000,4694,"[1,10]",PG,2006,"['Animation', 'Adventure', 'Comedy']",['English'],86,200811689
3076,https://imdb.com/title/tt0385752,The Golden Compass,6.1,183000,2422,"[7, 32]",PG-13,2007,"['Adventure', 'Family', 'Fantasy']","['English', 'Icelandic', 'Russian', 'French']",113,372234864
3077,https://imdb.com/title/tt0087538,The Karate Kid,7.3,209000,577,"[2, 3]",PG,1984,"['Action', 'Drama', 'Family']","['English', 'Japanese']",126,91119319
3078,https://imdb.com/title/tt0091326,The Karate Kid Part II,6.1,84000,3134,"[4, 3]",PG,1986,"['Action', 'Family', 'Sport']",['English'],113,115103979
3079,https://imdb.com/title/tt0097647,The Karate Kid Part III,5.3,57000,1537,"[0, 5]",PG,1989,"['Action', 'Drama', 'Family']",['English'],112,38956288
3080,https://imdb.com/title/tt2702348,Madly Madagascar,6.3,1700,,,G,2013,"['Animation', 'Short', 'Comedy']",['English'],22,
3081,https://imdb.com/title/tt2510894,Hotel Transylvania 2,6.7,116000,2418,"[2, 9]",PG,2015,"['Animation', 'Adventure', 'Comedy']",['English'],89,474800000
3082,https://imdb.com/title/tt1646971,How to Train Your Dragon 2,7.8,317000,3350,"[15, 61]",PG,2014,"['Animation', 'Action', 'Adventure']",['English'],102,621537519
3083,https://imdb.com/title/tt13622970,Moana,,,,,Unrated,,"['Animation', 'Adventure', 'Comedy']",['English'],,
3084,https://imdb.com/title/tt1822358,Untitled Kevin Lima Project,,,,,Unrated,,"['Animation', 'Family']",,,
3085,https://imdb.com/title/tt2386490,How to Train Your Dragon: The Hidden World,7.5,115000,2389,"[5, 65]",PG,2019,"['Animation', 'Action', 'Adventure']",['English'],104,525687703
3086,https://imdb.com/title/tt3606756,Incredibles 2,7.6,270000,1047,"[12, 79]",PG,2018,"['Animation', 'Action', 'Adventure']",['English'],118,1244639527
3087,https://imdb.com/title/tt2948356,Zootopia,8,460000,631,"[47, 72]",PG,2016,"['Animation', 'Adventure', 'Comedy']",['English'],108,1024121104
3088,https://imdb.com/title/tt1049413,Up,8.2,978000,913,"[79, 87]",PG,2009,"['Animation', 'Adventure', 'Comedy']",['English'],96,735099102
3089,https://imdb.com/title/tt2096673,Inside Out,8.1,655000,815,"[100, 116]",PG,2015,"['Animation', 'Adventure', 'Comedy']","['English', 'Portuguese']",95,858848019
3090,https://imdb.com/title/tt0910970,WALL·E,8.4,1000000,1159,"[93, 95]",G,2008,"['Animation', 'Adventure', 'Family']","['English', 'Hindi']",98,521311890
3091,https://imdb.com/title/tt5113044,Minions: The Rise of Gru,,,2844,,PG,2022,"['Animation', 'Adventure', 'Comedy']","['English', 'Vietnamese']",90,
3093,https://imdb.com/title/tt5848272,Ralph Breaks the Internet,7,145000,2081,"[3, 67]",PG,2018,"['Animation', 'Adventure', 'Comedy']",['English'],112,529323962
3094,https://imdb.com/title/tt1217209,Brave,7.1,389000,1529,"[20, 48]",PG,2012,"['Animation', 'Adventure', 'Comedy']",['English'],93,538983207
3095,https://imdb.com/title/tt9848626,Hotel Transylvania: Transformania,,,122,,PG,2022,"['Animation', 'Adventure', 'Comedy']",['English'],,
3097,https://imdb.com/title/tt0892769,How to Train Your Dragon,8.1,695000,1547,"[25, 63]",PG,2010,"['Animation', 'Action', 'Adventure']",['English'],98,494879471
3098,https://imdb.com/title/tt0110357,The Lion King,8.5,986000,408,"[39, 35]",G,1994,"['Animation', 'Adventure', 'Drama']","['English', 'Swahili', 'Xhosa', 'Zulu']",88,1063611805
3099,https://imdb.com/title/tt1860353,Turbo,6.4,90000,,"[1,13]",PG,2013,"['Animation', 'Adventure', 'Comedy']",['English'],96,282570682
3100,https://imdb.com/title/tt0864835,Mr. Peabody & Sherman,6.8,66000,,"[2, 16]",PG,2014,"['Animation', 'Adventure', 'Comedy']",['English'],92,275698039
3101,https://imdb.com/title/tt2380307,Coco,8.4,434000,439,"[109, 40]",PG,2017,"['Animation', 'Adventure', 'Comedy']","['English', 'Spanish']",105,807817888
3102,https://imdb.com/title/tt0067140,"Duck, You Sucker!",7.6,33000,,"[1,2]",PG,1971,"['Drama', 'War', 'Western']","['English', 'Italian', 'Spanish']",138,980
3103,https://imdb.com/title/tt0087843,Once Upon a Time in America,8.3,330000,112,"[12, 12]",R,1984,"['Crime', 'Drama']","['English', 'Italian', 'French', 'Yiddish', 'Hebrew']",229,5473337
3104,https://imdb.com/title/tt0054756,The Colossus of Rhodes,5.8,3300,,,Other,1961,"['Adventure', 'Drama', 'History']",['Italian'],127,
3105,https://imdb.com/title/tt0075029,The Outlaw Josey Wales,7.8,70000,1322,"[1,2]",PG,1976,['Western'],"['English', 'Navajo', 'Spanish']",135,31800000
3106,https://imdb.com/title/tt0089767,Pale Rider,7.3,56000,920,"[2, 0]",R,1985,"['Drama', 'Western']",['English'],115,41410568
3107,https://imdb.com/title/tt0070355,Magnum Force,7.2,59000,3239,"[0, 2]",R,1973,"['Action', 'Crime', 'Mystery']",['English'],124,39768000
3108,https://imdb.com/title/tt0079116,Escape from Alcatraz,7.6,128000,3754,,PG,1979,"['Action', 'Biography', 'Crime']",['English'],112,43005351
3109,https://imdb.com/title/tt0344510,A Very Long Engagement,7.6,72000,,"[17, 35]",R,2004,"['Drama', 'Mystery', 'Romance']","['French', 'German', 'Corsican']",133,69424389
3110,https://imdb.com/title/tt0099871,Jacob's Ladder,7.5,103000,1501,"[3, 0]",R,1990,"['Drama', 'Horror', 'Mystery']",['English'],113,26118851
3111,https://imdb.com/title/tt1959490,Noah,5.7,249000,1195,"[1,19]",PG-13,2014,"['Action', 'Adventure', 'Drama']",['English'],138,359200044
3112,https://imdb.com/title/tt0118929,Dark City,7.6,194000,1520,"[12, 19]",R,1998,"['Fantasy', 'Mystery', 'Sci-Fi']",['English'],100,27200316
